officer_id;po_assigned_unit;TotalComplaints;Civil Rights Complaint;Criminal Allegation;Departmental Violation;Disciplinary Code Violation;Domestic;Drugs;Falsification;Harassment;Investigation OnGoing;Lack of Service;No C.A.P. Investigation;Other Misconduct;Physical Abuse;Referred to Other Agency/C.A.P. Investigation;Sexual Crime/Misconduct;Unprofessional Conduct;Verbal Abuse;Gender;race;No Sustained Findings;Not Applicable;Pending;Sustained Finding
11887475;3500 35TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2; 1;0;0; 0
11936914;0800 08TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 0;0;0; 1
12015191;1800 18TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2; 1;0;0; 0
12032701;1800 18TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
12083169;2600 26TH DISTRICT; 1;0;0; 0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2; 1;0;0; 0
12100335;0700 07TH DISTRICT; 2;0;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5; 2;0;0; 0
12108575;1800 18TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2; 2;0;0; 0
12113038;7403 NARC FIELD UNIT NOR; 4;0;0; 1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2; 4;0;0; 0
12140848;5300 HIGHWAY PATROL; 9;0;0; 7;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;4; 5;0;0; 4
12154752;0300 03RD DISTRICT; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4; 2;0;0; 0
12174322;1900 19TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5; 1;0;0; 0
12189256;2500 25TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;5; 0;1;0; 0
12219125;3500 35TH DISTRICT; 8;0;0; 4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;5; 7;0;0; 1
12261697;0800 08TH DISTRICT; 5;0;0; 2;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;5; 2;1;0; 2
12268735;3500 35TH DISTRICT; 3;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;2; 3;0;0; 0
12276803;1500 15TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5; 1;0;0; 0
12291738;3900 39TH DISTRICT; 3;0;0; 0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;2; 3;0;0; 0
12346841;1800 18TH DISTRICT; 7;0;0; 0;0;0;0;0;3;0;0;1;0;2;0;0;0;1;1;2; 6;1;0; 0
12387010;0300 03RD DISTRICT; 2;0;0; 0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2; 2;0;0; 0
12471124;1400 14TH DISTRICT; 4;0;0; 2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;5; 2;0;1; 1
12472497;1500 15TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;5; 2;0;0; 0
12475931;3500 35TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5; 1;0;0; 0
12498933;1900 19TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 0;0;0; 1
12504770;1800 18TH DISTRICT; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5; 0;0;1; 0
12539102;6500 SOUTHWEST DET; 5;0;0; 2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;5; 5;0;0; 0
12594549;1500 15TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;5; 1;0;0; 1
12606050;9821 SAFETY OFFICE; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5; 1;0;0; 0
12610685;1900 19TH DISTRICT; 3;0;0; 3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 1;0;0; 2
12616350;1800 18TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2; 1;0;0; 0
12622186;2500 25TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
12688962;0600 06TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5; 2;0;0; 0
12759172;1700 17TH DISTRICT; 4;1;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1; 4;0;0; 0
12862855;2400 24TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 0;0;0; 1
12900621;6003 HOMICIDE UNIT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; 0;0;0; 1
12905427;1900 19TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 1;0;0; 0
12923623;2400 24TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4; 0;1;0; 1
13036577;2400 24TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4; 1;0;0; 0
13049280;3900 39TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2; 2;0;0; 0
13104555;6500 SOUTHWEST DET; 2;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2; 2;0;0; 0
13148157;4500 CENTER CITY DISTRIC; 4;0;0; 3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 1;0;0; 3
13173734;3500 35TH DISTRICT; 8;0;0; 3;0;0;0;0;0;2;1;0;0;1;0;0;0;2;1;4; 2;0;2; 5
13173734;9807 SUPP POLICE SERVICE; 1;0;0; 3;0;0;0;0;0;2;1;0;0;1;0;0;0;2;1;4; 2;0;2; 5
13186265;5300 HIGHWAY PATROL; 5;0;0; 4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2; 3;0;0; 2
13196565;0800 08TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
13206006;2200 22ND DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0; 0;0;0; 1
13251840;0600 06TH DISTRICT; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2; 0;0;1; 0
13254243;7402 STRIKE FORCE; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2; 1;0;1; 0
13254243;0900 09TH DISTRICT; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2; 1;0;1; 0
13271409;4921 RADIO ROOM; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2; 1;0;0; 0
13307115;2400 24TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4; 1;0;0; 0
13311921;1400 14TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4; 0;1;0; 0
13348657;5900 EAST DETECTIVES; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 1;0;0; 0
13362562;1600 16TH DISTRICT; 4;0;0; 1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;2; 4;0;0; 0
13381959;1500 15TH DISTRICT; 6;0;0; 3;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;4; 6;0;0; 0
13421098;9801 MAYORS PROTECTION; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2; 0;0;1; 0
13424531;0800 08TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;5; 2;0;0; 0
13456804;1200 12TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2; 2;0;0; 0
13519117;2200 22ND DISTRICT; 3;0;0; 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5; 3;0;0; 0
13521348;5900 EAST DETECTIVES; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; 1;0;0; 0
13547956;1400 14TH DISTRICT; 6;0;0; 3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4; 3;0;0; 3
13598596;1700 17TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 2;0;0; 0
13639795;0500 05TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2; 1;0;0; 0
